PLAYER,                                                                                                                                     AVGPOINTS,                                                                                                                                     INNINGS,                                                                                                                                     COST,                                                                                                                                     TYPE
KrishnappaGowtham,                                                                                        13.2571,                                                                                        5,                                                                                        8.5,                                                                                        2
KrunalPandya,                                                            31.0148,                                                            17,                                                                                        8.5,                                                                                        2
KuldeepYadav,                                               12.0889,                                               5,                                                                                        8.5,                                                                                        3
KulwantKhejroliya,                                                                                        12.5,                                                                                        2,                                                                                        0,                                                                                        0
LasithMalinga,                                                                                        34.6667,                                                                                        12,                                                                                        0,                                                                                        0
LiamLivingstone,                                                                                        21.75,                                                                                        4,                                                                                        0,                                                                                        0
LockieFerguson,                                                                                        10,                                                                                        5,                                                                                        8.5,                                                                                        3
LungiNgidi,                       50,                       8,                                                                                        8.5,                                                                                        3
MananVohra,                                                                                        15,                                                                                        4,                                                                                        8,                                                                                        1
MandeepSingh,                                                                                        15.25,                                                                                        12,                                                                                        8,                                                                                        1
ManishPandey,                    37.5834,                    12,                                                                                        9,                                                                                        1
MarcusStoinis,                                                                                        41.303,                                                                                        11,                                                                                        8.5,                                                                                        2
MartinGuptill,                                                                                        33,                                                                                        3,                                                                                        0,                                                                                        0
MayankAgarwal,                                                                            37.3333,                                                                            15,                                                                                        8.5,                                                                                        1
MayankMarkande,                                                                                        8.33333,                                                                                        3,                                                                                        8,                                                                                        3
MitchellMarsh,                 24,                 5,                                                                                        8.5,                                                                                        2
MitchellMcClenaghan,                                                                                        18.25,                                                                                        4,                                                                                        8.5,                                                                                        3
MitchellSantner,                                                                                        44,                                                                                        2,                                                                                        8.5,                                                                                        2
MoeenAli,                                                                                        44.4667,                                                                                        10,                                                                                        8.5,                                                                                        2
MohammadNabi,                                                                                        45.5714,                                                                                        7,                                                                                        9,                                                                                        2
MohammadShami,                                                                      37.5625,                                                                      16,                                                                                        8.5,                                                                                        3
MohammedSiraj,                                                                                        19.4444,                                                                                        9,                                                                                        8,                                                                                        3
MohitSharma,                                                                                        24,                                                                                        2,                                                                                        8,                                                                                        3
MSDhoni,                            40.2143,                            14,                                                                                        9.5,                                                                                        0
MujeebUrRahman,                                                                                        15,                                                                                        5,                                                                                        9,                                                                                        3
MuraliVijay,                                 26.25,                                 4,                                                                                        8,                                                                                        1
MuruganAshwin,                                                                     18.5455,                                                                     11,                                                                                        8,                                                                                        3
Natarajan,            21.7143,            7,                                                                                        8,                                                                                        3
NavdeepSaini,   23.0667,   15,                                                                                        8.5,                                                                                        3
NicholasPooran,                                                                          29.5,                                                                          8,                                                                                        9,                                                                                        0
NitishRana,                                                     49.5417,                                                     12,                                                                                        9,                                                                                        2
OshaneThomas,                                                                                        31.25,                                                                                        4,                                                                                        8,                                                                                        3
ParthivPatel,                                                                                        32.0714,                                                                                        14,                                                                                        8.5,                                                                                        0
PawanNegi,                                                                                        21.25,                                                                                        4,                                                                                        0,                                                                                        0
PiyushChawla,                        28.5935,                        7,                                                                                        8.5,                                                                                        3
PrasidhKrishna,                                                                                        9.09091,                                                                                        11,                                                                                        0,                                                                                        0
PrayasRayBarman,                                                                                        21,                                                                                        1,                                                                                        0,                                                                                        0
PrithviRaj,                                                                                        12.5,                                                                                        2,                                                                                        0,                                                                                        0
PrithviShaw,                                                                                        26.4706,                                                                                        17,                                                                                        8.5,                                                                                        1
PriyamGarg,                   28.8182,                   11,                                                                                        8,                                                                                        1
QuintondeKock,                                                                 39.7222,                                                                 18,                                                                                        9.5,                                                                                        0
RahulChahar,                                                          34.1667,                                                          6,                                                                                        8,                                                                                        3
RahulTewatia,                                  36.9334,                                  5,                                                                                        8,                                                                                        2
RahulTripathi,                                                                                        23.1429,                                                                                        7,                                                                                        8,                                                                                        1
RashidKhan,               31.7407,               9,                                                                                        9.5,                                                                                        3
RasikhSalam,                                                                                        0,                                                                                        1,                                                                                        0,                                                                                        0
RaviBishnoi,                                                                   34.5,                                                                   8,                                                                                        8,                                                                                        3
RavichandranAshwin,                                                                                        38.5306,                                                                                        7,                                                                                        9,                                                                                        3
RavindraJadeja,                           36.0852,                           11,                                                                                        8.5,                                                                                        2
Rgaikwad,                              28,                              6,                                                                                        8,                                                                                        1
RinkuSingh,                                                                                        14,                                                                                        3,                                                                                        8,                                                                                        1
RishabhPant,                                                                                        37.5294,                                                                                        17,                                                                                        9.5,                                                                                        0
RiyanParag,                                      39.6191,                                      6,                                                                                        8,                                                                                        2
RobinUthappa,                                           28.5833,                                           12,                                                                                        9,                                                                                        1
RohitSharma,                                                                  35.8824,                                                                  17,                                                                                        10.5,                                                                                        1
SamCurran,                          51.6334,                          10,                                                                                        8.5,                                                                                        2
SandeepLamichhane,                                                                                        33.3333,                                                                                        6,                                                                                        8.5,                                                                                        3
SandeepSharma,             26,             12,                                                                                        8,                                                                                        3
SandeepWarrier,                                              12,                                              4,                                                                                        8,                                                                                        3
SanjuSamson,                                        42.2308,                                        13,                                                                                        9.5,                                                                                        0
SarfarazKhan,                                                                        34.4286,                                                                        7,                                                                                        8,                                                                                        1
SaurabhTiwary,                                                               32,                                                               7,                                                                                        8,                                                                                        1
ScottKuggeleijn,                                                                                        25,                                                                                        2,                                                                                        0,                                                                                        0
ShahbazNadeem,                                                                                        16.6667,                                                                                        3,                                                                                        8,                                                                                        3
ShakibAlHasan,                                                                                        25.6667,                                                                                        1,                                                                                        0,                                                                                        0
ShaneWatson,                                29.2105,                                19,                                                                                        9.5,                                                                                        1
ShardulThakur,                                                                                        27.8889,                                                                                        3,                                                                                        8.5,                                                                                        3
SheldonCottrell,                                                                    32.3833,                                                                    15,                                                                                        8.5,                                                                                        3
SherfaneRutherford,                                                                                        16.881,                                                                                        7,                                                                                        0,                                                                                        0
ShikharDhawan,                                                                                        37,                                                                                        17,                                                                                        10,                                                                                        1
ShimronHetmyer,                                                                                        21.3333,                                                                                        6,                                                                                        8.5,                                                                                        1
ShivamDube,       29,       6,                                                                                        8,                                                                                        2
ShreyasGopal,                                     43.75,                                     8,                                                                                        8.5,                                                                                        3
ShreyasIyer,                                                                                        35.3529,                                                                                        17,                                                                                        9,                                                                                        1
ShubmanGill,                                                      25.6429,                                                      14,                                                                                        8.5,                                                                                        1
SiddarthKaul,                                                                                        21.4286,                                                                                        7,                                                                                        8.5,                                                                                        3
SiddheshLad,                                                                                        18,                                                                                        1,                                                                                        0,                                                                                        0
SimranSingh,                                                                                        19,                                                                                        1,                                                                                        0,                                                                                        0
SteveSmith,                                          42,                                          11,                                                                                        9.5,                                                                                        1
StuartBinny,                                                                                        21.6,                                                                                        5,                                                                                        0,                                                                                        0
SunilNarine,                                                       41.35,                                                       10,                                                                                        10,                                                                                        2
SureshRaina,                                                                                        26.9412,                                                                                        17,                                                                                        0,                                                                                        0
SuryakumarYadav,                                                                34.0588,                                                                17,                                                                                        8.5,                                                                                        1
TimSouthee,                                                                                        17.3333,                                                                                        1,                                                                                        0,                                                                                        0
TomCurran,                                       27.8333,                                       6,                                                                                        8,                                                                                        3
TrentBoult,                                                         30.8572,                                                         7,                                                                                        8.5,                                                                                        3
UmeshYadav,     19.0303,     9,                                                                                        8.5,                                                                                        3
VarunAaron,                                                                                        20,                                                                                        5,                                                                                        8,                                                                                        3
VarunChakravarthy,                                                                                        25,                                                                                        1,                                                                                        8,                                                                                        3
VijayShankar,                  25.0667,                  15,                                                                                        8.5,                                                                                        2
ViratKohli,          36.9376,          16,                                                                                        10.5,                                                                                        1
ViratSingh,                                                                                        35,                                                                                        10,                                                                                        8,                                                                                        1
WashingtonSundar,      28.4,      5,                                                                                        8,                                                                                        2
WriddhimanSaha,                                                                                        20.2,                                                                                        5,                                                                                        8,                                                                                        0
YashasviJaiswal,                                            31,                                            6,                                                                                        8,                                                                                        1
YusufPathan,                                                                                        5.375,                                                                                        8,                                                                                        0,                                                                                        0
YuvrajSingh,                                                                                        30.25,                                                                                        4,                                                                                        0,                                                                                        0
YuzvendraChahal,  35.6875,  16,                                                                                        9,                                                                                        3
EoinMorgan,                                                    35,                                                    9,                                                                                        9,                                                                                        1
SiddeshLad,                                                                                        15,                                                                                        1,                                                                                        8,                                                                                        1
TomBanton,                                                                                        30,                                                                                        6,                                                                                        8,                                                                                        1
PatCummins,                                                36.2,                                                5,                                                                                        9,                                                                                        3
ChrisGreen,                                                                                        25,                                                                                        6,                                                                                        8,                                                                                        3
PrasidhKrishna,                                                                                        20,                                                                                        18,                                                                                        8,                                                                                        3
Kamlesh,                                                                                        20,                                                                                        9,                                                                                        8,                                                                                        3
ShivamMavi,                                             20.7,                                             10,                                                                                        8,                                                                                        3
AliKhan,                                                                                        15,                                                                                        5,                                                                                        8,                                                                                        3
Manimaran,                                                                                        55,                                                                                        6,                                                                                        7.5,                                                                                        3
NikhilNaik,                                                 10.75,                                                 4,                                                                                        7.5,                                                                                        0
